#y=x+7;x
7.00;0.00
8.00;1.00
9.00;2.00
10.00;3.00
11.00;4.00
12.00;5.00
13.00;6.00
14.00;7.00
15.00;8.00
16.00;9.00
17.00;10.00
18.00;11.00
19.00;12.00
20.00;13.00
21.00;14.00
22.00;15.00
23.00;16.00
24.00;17.00
25.00;18.00
26.00;19.00
27.00;20.00
28.00;21.00
29.00;22.00
30.00;23.00
31.00;24.00
32.00;25.00
33.00;26.00
34.00;27.00
35.00;28.00
36.00;29.00
37.00;30.00
38.00;31.00
39.00;32.00
40.00;33.00
41.00;34.00
42.00;35.00
43.00;36.00
44.00;37.00
45.00;38.00
46.00;39.00
47.00;40.00
48.00;41.00
49.00;42.00
50.00;43.00
51.00;44.00
52.00;45.00
53.00;46.00
54.00;47.00
55.00;48.00
56.00;49.00
57.00;50.00
58.00;51.00
59.00;52.00
60.00;53.00
61.00;54.00
62.00;55.00
63.00;56.00
64.00;57.00
65.00;58.00
66.00;59.00
67.00;60.00
68.00;61.00
69.00;62.00
70.00;63.00
71.00;64.00
72.00;65.00
73.00;66.00
74.00;67.00
75.00;68.00
76.00;69.00
77.00;70.00
78.00;71.00
79.00;72.00
80.00;73.00
81.00;74.00
82.00;75.00
83.00;76.00
84.00;77.00
85.00;78.00
86.00;79.00
87.00;80.00
88.00;81.00
89.00;82.00
90.00;83.00
91.00;84.00
92.00;85.00
93.00;86.00
94.00;87.00
95.00;88.00
96.00;89.00
97.00;90.00
98.00;91.00
99.00;92.00
100.00;93.00
101.00;94.00
102.00;95.00
103.00;96.00
104.00;97.00
105.00;98.00
106.00;99.00
107.00;100.00
108.00;101.00
109.00;102.00
110.00;103.00
111.00;104.00
112.00;105.00
113.00;106.00
114.00;107.00
115.00;108.00
116.00;109.00
117.00;110.00
118.00;111.00
119.00;112.00
120.00;113.00
121.00;114.00
122.00;115.00
123.00;116.00
124.00;117.00
125.00;118.00
126.00;119.00
127.00;120.00
128.00;121.00
129.00;122.00
130.00;123.00
131.00;124.00
132.00;125.00
133.00;126.00
134.00;127.00
135.00;128.00
136.00;129.00
137.00;130.00
138.00;131.00
139.00;132.00
140.00;133.00
141.00;134.00
142.00;135.00
143.00;136.00
144.00;137.00
145.00;138.00
146.00;139.00
147.00;140.00
148.00;141.00
149.00;142.00
150.00;143.00
151.00;144.00
152.00;145.00
153.00;146.00
154.00;147.00
155.00;148.00
156.00;149.00
157.00;150.00
158.00;151.00
159.00;152.00
160.00;153.00
161.00;154.00
162.00;155.00
163.00;156.00
164.00;157.00
165.00;158.00
166.00;159.00
167.00;160.00
168.00;161.00
169.00;162.00
170.00;163.00
171.00;164.00
172.00;165.00
173.00;166.00
174.00;167.00
175.00;168.00
176.00;169.00
177.00;170.00
178.00;171.00
179.00;172.00
180.00;173.00
181.00;174.00
182.00;175.00
183.00;176.00
184.00;177.00
185.00;178.00
186.00;179.00
187.00;180.00
188.00;181.00
189.00;182.00
190.00;183.00
191.00;184.00
192.00;185.00
193.00;186.00
194.00;187.00
195.00;188.00
196.00;189.00
197.00;190.00
198.00;191.00
199.00;192.00
200.00;193.00
201.00;194.00
202.00;195.00
203.00;196.00
204.00;197.00
205.00;198.00
206.00;199.00
207.00;200.00
208.00;201.00
209.00;202.00
210.00;203.00
211.00;204.00
212.00;205.00
213.00;206.00
214.00;207.00
215.00;208.00
216.00;209.00
217.00;210.00
218.00;211.00
219.00;212.00
220.00;213.00
221.00;214.00
222.00;215.00
223.00;216.00
224.00;217.00
225.00;218.00
226.00;219.00
227.00;220.00
228.00;221.00
229.00;222.00
230.00;223.00
231.00;224.00
232.00;225.00
233.00;226.00
234.00;227.00
235.00;228.00
236.00;229.00
237.00;230.00
238.00;231.00
239.00;232.00
240.00;233.00
241.00;234.00
242.00;235.00
243.00;236.00
244.00;237.00
245.00;238.00
246.00;239.00
247.00;240.00
248.00;241.00
249.00;242.00
250.00;243.00
251.00;244.00
252.00;245.00
253.00;246.00
254.00;247.00
255.00;248.00
256.00;249.00
257.00;250.00
258.00;251.00
259.00;252.00
260.00;253.00
261.00;254.00
262.00;255.00
263.00;256.00
264.00;257.00
265.00;258.00
266.00;259.00
267.00;260.00
268.00;261.00
269.00;262.00
270.00;263.00
271.00;264.00
272.00;265.00
273.00;266.00
274.00;267.00
275.00;268.00
276.00;269.00
277.00;270.00
278.00;271.00
279.00;272.00
280.00;273.00
281.00;274.00
282.00;275.00
283.00;276.00
284.00;277.00
285.00;278.00
286.00;279.00
287.00;280.00
288.00;281.00
289.00;282.00
290.00;283.00
291.00;284.00
292.00;285.00
293.00;286.00
294.00;287.00
