#y=sin(x+2);x1
0.909297427;0
0.141120008;1
-0.756802495;2
-0.958924275;3
-0.279415498;4
0.656986599;5
0.989358247;6
0.412118485;7
-0.544021111;8
-0.999990207;9
-0.536572918;10
0.420167037;11
0.990607356;12
0.65028784;13
-0.287903317;14
-0.961397492;15
-0.750987247;16
0.14987721;17
0.912945251;18
0.836655639;19
-0.008851309;20
-0.846220404;21
-0.905578362;22
-0.13235175;23
0.76255845;24
0.956375928;25
0.270905788;26
-0.663633884;27
-0.988031624;28
-0.404037645;29
0.551426681;30
0.99991186;31
0.529082686;32
-0.428182669;33
-0.991778853;34
-0.643538133;35
0.296368579;36
0.963795386;37
0.74511316;38
-0.158622669;39
-0.916521548;40
-0.831774743;41
0.017701925;42
0.850903525;43
0.901788348;44
0.123573123;45
-0.768254661;46
-0.953752653;47
-0.262374854;48
0.670229176;49
0.986627592;50
0.39592515;51
-0.558789049;52
-0.999755173;53
-0.521551002;54
0.436164755;55
0.992872648;56
0.636738007;57
-0.304810621;58
-0.96611777;59
-0.739180697;60
0.1673557;61
0.920026038;62
0.826828679;63
-0.026551154;64
-0.855519979;65
-0.897927681;66
-0.114784814;67
0.773890682;68
0.951054653;69
0.253823363;70
-0.676771957;71
-0.98514626;72
-0.387781635;73
0.566107637;74
0.999520159;75
0.513978456;76
-0.444112669;77
-0.993888654;78
-0.629887994;79
0.313228782;80
0.968364461;81
0.73319032;82
-0.17607562;83
-0.923458447;84
-0.821817837;85
0.035398303;86
0.860069406;87
0.893996664;88
0.105987512;89
-0.77946607;90
-0.948282141;91
-0.245251985;92
0.683261715;93
0.983587745;94
0.379607739;95
-0.573381872;96
-0.999206834;97
-0.506365641;98
0.452025787;99
0.994826791;100
0.622988631;101
-0.321622403;102
-0.970535284;103
-0.7271425;104
0.184781745;105
0.926818505;106
0.816742607;107
-0.044242678;108
-0.864551449;109
-0.889995604;110
-0.097181906;111
0.784980389;112
0.945435334;113
0.236661393;114
-0.689697941;115
-0.981952169;116
-0.371404101;117
0.580611184;118
0.998815225;119
0.498713154;120
-0.459903491;121
-0.995686987;122
-0.616040459;123
0.329990826;124
0.972630067;125
0.721037711;126
-0.193473392;127
-0.93010595;128
-0.811603387;129
0.053083587;130
0.868965756;131
0.885924816;132
0.088368686;133
-0.790433207;134
-0.942514455;135
-0.22805226;136
0.696080131;137
0.980239659;138
0.363171365;139
-0.587795007;140
-0.998345361;141
-0.491021594;142
0.467745162;143
0.996469173;144
0.609044022;145
-0.338333394;146
-0.974648648;147
-0.71487643;148
0.202149881;149
0.933320524;150
0.806400581;151
-0.061920337;152
-0.873311983;153
-0.881784619;154
-0.079548543;155
0.795824097;156
0.939519732;157
0.219425258;158
-0.702407786;159
-0.978450351;160
-0.354910176;161
0.594932778;162
0.997797279;163
0.483291564;164
-0.475550187;165
-0.997173289;166
-0.601999868;167
0.346649455;168
0.976590868;169
0.70865914;170
-0.210810533;171
-0.936461974;172
-0.801134595;173
0.070752236;174
0.877589788;175
0.877575336;176
0.070722167;177
-0.801152636;178
-0.9364514;179
-0.210781066;180
0.708680408;181
0.976584383;182
0.34662118;183
-0.602023938;184
-0.997171023;185
-0.475523669;186
0.483317954;187
0.997799279;188
0.594908548;189
-0.354938358;190
-0.978456575;191
-0.702386329;192
0.219454668;193
0.939530056;194
0.795805843;195
-0.079578592;196
-0.881798836;197
-0.873297297;198
-0.061890251;199
0.806418407;200
0.9333097;201
0.202120359;202
-0.714897508;203
-0.974641903;204
-0.338305028;205
0.60906793;206
0.996466642;207
0.467718518;208
-0.491047854;209
-0.998347094;210
-0.58777062;211
0.363199451;212
0.980245622;213
0.696058488;214
-0.228081609;215
-0.942524527;216
-0.790414741;217
0.088398712;218
0.885938798;219
0.868950838;220
0.053053485;221
-0.811620997;222
-0.930094878;223
-0.193443817;224
0.721058597;225
0.972623062;226
0.32996237;227
-0.616064204;228
-0.99568419;229
-0.459876723;230
0.498739282;231
0.998816691;232
0.580586641;233
-0.371432089;234
-0.98195787;235
-0.689676113;236
0.236690681;237
0.945445155;238
0.784961713;239
-0.097211908;240
-0.890009349;241
-0.864536299;242
-0.044212563;243
0.81676;244
0.926807186;245
0.184752119;246
-0.727163193;247
-0.97052802;248
-0.32159386;249
0.623012211;250
0.994823729;251
0.451998898;252
-0.506391635;253
-0.999208034;254
-0.573357175;255
0.379635627;256
0.983593184;257
0.683239704;258
-0.245281209;259
-0.94829171;260
-0.779447185;261
0.106017486;262
0.89401017;263
0.860054026;264
0.035368177;265
-0.821835011;266
-0.92344688;267
-0.176045946;268
0.733210819;269
0.968356938;270
0.313200155;271
-0.629911407;272
-0.993885326;273
-0.44408566;274
0.514004314;275
0.999521092;276
0.566082788;277
-0.387809421;278
-0.985151436;279
-0.676749765;280
0.25385252;281
0.951063968;282
0.77387159;283
-0.114814759;284
-0.897940948;285
-0.855504371;286
-0.02652102;287
