#y=x^2+x;x1
0.00;0.00
2.00;1.00
6.00;2.00
12.00;3.00
20.00;4.00
30.00;5.00
42.00;6.00
56.00;7.00
72.00;8.00
90.00;9.00
110.00;10.00
132.00;11.00
156.00;12.00
182.00;13.00
210.00;14.00
240.00;15.00
272.00;16.00
306.00;17.00
342.00;18.00
380.00;19.00
420.00;20.00
462.00;21.00
506.00;22.00
552.00;23.00
600.00;24.00
650.00;25.00
702.00;26.00
756.00;27.00
812.00;28.00
870.00;29.00
930.00;30.00
992.00;31.00
1056.00;32.00
1122.00;33.00
1190.00;34.00
1260.00;35.00
1332.00;36.00
1406.00;37.00
1482.00;38.00
1560.00;39.00
1640.00;40.00
1722.00;41.00
1806.00;42.00
1892.00;43.00
1980.00;44.00
2070.00;45.00
2162.00;46.00
2256.00;47.00
2352.00;48.00
2450.00;49.00
2550.00;50.00
2652.00;51.00
2756.00;52.00
2862.00;53.00
2970.00;54.00
3080.00;55.00
3192.00;56.00
3306.00;57.00
3422.00;58.00
3540.00;59.00
3660.00;60.00
3782.00;61.00
3906.00;62.00
4032.00;63.00
4160.00;64.00
4290.00;65.00
4422.00;66.00
4556.00;67.00
4692.00;68.00
4830.00;69.00
4970.00;70.00
5112.00;71.00
5256.00;72.00
5402.00;73.00
5550.00;74.00
5700.00;75.00
5852.00;76.00
6006.00;77.00
6162.00;78.00
6320.00;79.00
6480.00;80.00
6642.00;81.00
6806.00;82.00
6972.00;83.00
7140.00;84.00
7310.00;85.00
7482.00;86.00
7656.00;87.00
7832.00;88.00
8010.00;89.00
8190.00;90.00
8372.00;91.00
8556.00;92.00
8742.00;93.00
8930.00;94.00
9120.00;95.00
9312.00;96.00
9506.00;97.00
9702.00;98.00
9900.00;99.00
10100.00;100.00
10302.00;101.00
10506.00;102.00
10712.00;103.00
10920.00;104.00
11130.00;105.00
11342.00;106.00
11556.00;107.00
11772.00;108.00
11990.00;109.00
12210.00;110.00
12432.00;111.00
12656.00;112.00
12882.00;113.00
13110.00;114.00
13340.00;115.00
13572.00;116.00
13806.00;117.00
14042.00;118.00
14280.00;119.00
14520.00;120.00
14762.00;121.00
15006.00;122.00
15252.00;123.00
15500.00;124.00
15750.00;125.00
16002.00;126.00
16256.00;127.00
16512.00;128.00
16770.00;129.00
17030.00;130.00
17292.00;131.00
17556.00;132.00
17822.00;133.00
18090.00;134.00
18360.00;135.00
18632.00;136.00
18906.00;137.00
19182.00;138.00
19460.00;139.00
19740.00;140.00
20022.00;141.00
20306.00;142.00
20592.00;143.00
20880.00;144.00
21170.00;145.00
21462.00;146.00
21756.00;147.00
22052.00;148.00
22350.00;149.00
22650.00;150.00
22952.00;151.00
23256.00;152.00
23562.00;153.00
23870.00;154.00
24180.00;155.00
24492.00;156.00
24806.00;157.00
25122.00;158.00
25440.00;159.00
25760.00;160.00
26082.00;161.00
26406.00;162.00
26732.00;163.00
27060.00;164.00
27390.00;165.00
27722.00;166.00
28056.00;167.00
28392.00;168.00
28730.00;169.00
29070.00;170.00
29412.00;171.00
29756.00;172.00
30102.00;173.00
30450.00;174.00
30800.00;175.00
31152.00;176.00
31506.00;177.00
31862.00;178.00
32220.00;179.00
32580.00;180.00
32942.00;181.00
33306.00;182.00
33672.00;183.00
34040.00;184.00
34410.00;185.00
34782.00;186.00
35156.00;187.00
35532.00;188.00
35910.00;189.00
36290.00;190.00
36672.00;191.00
37056.00;192.00
37442.00;193.00
37830.00;194.00
38220.00;195.00
38612.00;196.00
39006.00;197.00
39402.00;198.00
39800.00;199.00
40200.00;200.00
40602.00;201.00
41006.00;202.00
41412.00;203.00
41820.00;204.00
42230.00;205.00
42642.00;206.00
43056.00;207.00
43472.00;208.00
43890.00;209.00
44310.00;210.00
44732.00;211.00
45156.00;212.00
45582.00;213.00
46010.00;214.00
46440.00;215.00
46872.00;216.00
47306.00;217.00
47742.00;218.00
48180.00;219.00
48620.00;220.00
49062.00;221.00
49506.00;222.00
49952.00;223.00
50400.00;224.00
50850.00;225.00
51302.00;226.00
51756.00;227.00
52212.00;228.00
52670.00;229.00
53130.00;230.00
53592.00;231.00
54056.00;232.00
54522.00;233.00
54990.00;234.00
55460.00;235.00
55932.00;236.00
56406.00;237.00
56882.00;238.00
57360.00;239.00
57840.00;240.00
58322.00;241.00
58806.00;242.00
59292.00;243.00
59780.00;244.00
60270.00;245.00
60762.00;246.00
61256.00;247.00
61752.00;248.00
62250.00;249.00
62750.00;250.00
63252.00;251.00
63756.00;252.00
64262.00;253.00
64770.00;254.00
65280.00;255.00
65792.00;256.00
66306.00;257.00
66822.00;258.00
67340.00;259.00
67860.00;260.00
68382.00;261.00
68906.00;262.00
69432.00;263.00
69960.00;264.00
70490.00;265.00
71022.00;266.00
71556.00;267.00
72092.00;268.00
72630.00;269.00
73170.00;270.00
73712.00;271.00
74256.00;272.00
74802.00;273.00
75350.00;274.00
75900.00;275.00
76452.00;276.00
77006.00;277.00
77562.00;278.00
78120.00;279.00
78680.00;280.00
79242.00;281.00
79806.00;282.00
80372.00;283.00
80940.00;284.00
81510.00;285.00
82082.00;286.00
82656.00;287.00
